Matrix Size,GFLOPS,Check
100,1.745201e+00,-9.425822e+15
200,1.734982e+00,-2.268807e+16
300,1.651376e+00,-3.466452e+16
400,4.572180e-01,-2.834136e+16
500,1.782493e+00,-5.123278e+16
600,1.735421e+00,-1.477922e+16
700,1.713128e+00,-7.087311e+16
800,1.651762e+00,-1.013360e+17
900,1.578496e+00,-6.538124e+16
1000,1.540589e+00,-1.464151e+17
1100,1.486816e+00,-1.448164e+17
1200,1.469661e+00,-1.561156e+17
1300,1.456894e+00,-1.688694e+17
1400,1.431873e+00,-2.015822e+17
1500,1.393460e+00,-5.649323e+16
1600,1.428885e+00,-1.351288e+17
1700,1.413264e+00,-7.959103e+16
1800,1.416738e+00,-2.244352e+17
1900,1.405816e+00,-2.197374e+17
2000,1.396085e+00,-2.440045e+17
2100,1.400267e+00,-1.712024e+17
2200,1.394242e+00,-3.195377e+17
2300,1.392304e+00,-1.692846e+17
2400,1.389599e+00,-3.215055e+17
2500,1.377833e+00,-3.380465e+17
